Benefits,Company,Education,Industry,Industry_label,Job_function,Job_title,Level,Location,Posting_date,Salary,Work_exp
"['', 'Bank Holiday', '', 'Birthday Leave', '', 'Double Pay', '', 'Five-Day Work', '', 'Medical Insurance']",Altai Technologies Ltd,Bachelor,All IT,Tele-communications,"['IT (Technical / Functional Consulting)', 'IT (Mobile / Wireless Communications)', 'IT (System Engineer / Network Engineer)']",Wireless Network Engineer,Middle,Shatin District,Posting Date: 2020-09-08,--,0 - 5
"['', 'Education Allowance', '', 'Five-Day Work', '', 'Medical Insurance']",WiseSpot Company Limited,Bachelor,All IT,Information Technology,"['IT (Application - Software)', 'IT (Software / Web Developer)', 'IT (Network & System)', 'IT (Product Management / Business Analyst)', 'Sales (Sales Engineer / Technical Sales)']",Pre-Sales Engineer – Enterprise Team,General,Eastern District / North Point,Posting Date: 2020-09-08,--,2
"['', 'Education Allowance', '', 'Five-Day Work', '', 'Medical Insurance']",WiseSpot Company Limited,Diploma,All IT,Information Technology,"['IT (Systems / Technical Support)', 'IT (Mobile / Wireless Communications)', 'IT (Network & System)', 'IT (Others)']",Technical Support Engineer,Middle,,Posting Date: 2020-09-08,--,2
"['', 'Five-Day Work', '', 'Flexible Working Hours', '', 'Medical Insurance', '', 'Performance Bonus']",Ewell Hong Kong Limited,Associate Degree / Higher Diploma,All IT,Information Technology,"['IT (Application - Software)', 'IT (Software / Web Developer)', 'IT (Others)']",System Analyst,General,Shatin District / Shatin,Posting Date: 2020-09-08,--,5 or above
"['', 'Five-Day Work', '', 'Flexible Working Hours', '', 'Medical Insurance', '', 'Performance Bonus']",Ewell Hong Kong Limited,Associate Degree / Higher Diploma,All IT,Information Technology,"['IT (Application - Software)', 'IT (Software / Web Developer)', 'IT (Others)']",System Analyst (Implementation),Senior,Shatin District / Shatin,Posting Date: 2020-09-08,--,5 or above
"['', 'Five-Day Work', '', 'Flexible Working Hours', '', 'Medical Insurance', '', 'Performance Bonus']",Ewell Hong Kong Limited,Associate Degree / Higher Diploma,All IT,Information Technology,"['IT (Software / Web Developer)', 'IT (Systems / Technical Support)', 'IT (Others)']",Analyst programmer/ Developer (Java/ App),General,Shatin District / Shatin,Posting Date: 2020-09-08,--,2
"['', 'Five-Day Work', '', 'Flexible Working Hours', '', 'Medical Insurance', '', 'Performance Bonus']",Ewell Hong Kong Limited,Associate Degree / Higher Diploma,All IT,Information Technology,"['IT (Network & System)', 'IT (Systems / Technical Support)', 'IT (Others)']",System Engineer / IT Specialist/ System Support,General,Shatin District / Shatin,Posting Date: 2020-09-08,--,2
,Suntrend Technology Co. Limited,Bachelor,All IT,Information Technology,"['IT (Software / Web Developer)', 'IT (Technical / Functional Consulting)', 'IT (Network & System)', 'IT (Others)']",programmer,General,,Posting Date: 2020-09-08,--,1 or above
"['', 'Education Allowance', '', 'Five-Day Work', '', 'Medical Insurance', '', 'Performance Bonus']",CBX Software Limited,Bachelor,All IT,Information Technology,"['IT (Application - Software)', 'IT (Product Management / Business Analyst)', 'IT (Software / Web Developer)', 'IT (Others)']",Software Implementation Consultant / Business Analyst (Five-day work),Middle,Sham Shui Po District / Lai Chi Kok,Posting Date: 2020-09-08,--,3
"['', 'Medical Insurance', '', 'On-the-job training', '', 'Performance Bonus', '', 'Travel Allowance']",CBX Software Limited,Bachelor,All IT,Information Technology,"['IT (IT Project Management / Team Lead)', 'IT (Product Management / Business Analyst)', 'IT (Technical / Functional Consulting)']",IT Product Manager / Product Owner (Five-day work),Senior,Sham Shui Po District / Lai Chi Kok,Posting Date: 2020-09-08,--,6
"['', 'Education Allowance', '', 'Five-Day Work', '', 'Medical Insurance', '', 'Performance Bonus']",CBX Software Limited,Bachelor,All IT,Information Technology,"['IT (Application - Software)', 'IT (Product Management / Business Analyst)', 'IT (IT Project Management / Team Lead)', 'Retail (Others)']",Senior Business Consultant – Retail Sourcing IT projects (Based in Munich Germany),Middle,Overseas,Posting Date: 2020-09-08,--,3 or above
"['', 'Five-Day Work', '', 'Free Shuttle Bus', '', 'Medical Insurance', '', 'Performance Bonus']",LEE KEE GROUP,Bachelor,All IT,Trading,"['IT (Systems / Technical Support)', 'IT (Network & System)', 'IT (Others)']",Network & System Administrator,Middle,Tai Po District,Posting Date: 2020-09-08,--,3
,東大前語言研習社,Associate Degree / Higher Diploma,All IT,Education / Training,"['IT (Software / Web Developer)', 'IT (Network & System)', 'IT (Application - Software)', 'IT (Application - Network)', 'IT (Others)']",Programmer,General,,Posting Date: 2020-09-08,--,1
"['', 'Dental Insurance', '', 'Five-Day Work', '', 'Medical Insurance', '', 'Performance Bonus']",PRIZM,Diploma,All IT,Information Technology,"['IT (Application - Software)', 'IT (Software / Web Developer)', 'IT (Technical Writing)', 'Fresh Graduate (Fresh Graduate)']",Web Developer / Programmer,General,Kwun Tong District / Kwun Tong,Posting Date: 2020-09-08,--,1-2
"['', 'Birthday Leave', '', 'Dental Insurance', '', 'Five-Day Work', '', 'Medical Insurance', '', 'Performance Bonus']",PRIZM,Bachelor,All IT,Information Technology,"['Marketing / Public Relations (Marketing - Digital Marketing)', 'IT (Others)']",Marketing Executive - Digital,General,Kwun Tong District / Kwun Tong,Posting Date: 2020-09-08,--,--
"['', 'Birthday Leave', '', 'Dental Insurance', '', 'Five-Day Work', '', 'Medical Insurance', '', 'Performance Bonus']",PRIZM,Bachelor,All IT,Information Technology,"['IT (IT Project Management / Team Lead)', 'IT (Product Management / Business Analyst)', 'IT (Others)']","Senior Project Executive/ Business Analyst, IT & Digital ",General,Kwun Tong District / Kwun Tong,Posting Date: 2020-09-08,--,1
"['', 'Five-Day Work']",NewTrek Systems Limited,Associate Degree / Higher Diploma,All IT,Information Technology,"['IT (Application - Software)', 'IT (Systems / Technical Support)', 'IT (IT Management)', 'IT (Others)']",.NET Systems Analyst (Permanent) 5 days,Middle,Kwun Tong District / Kwun Tong,Posting Date: 2020-09-08,--,4
"['', 'Five-Day Work']",NewTrek Systems Limited,Bachelor,All IT,Information Technology,"['IT (Application - Software)', 'IT (IT Management)', 'IT (Others)']",Database Architect (5 days),Middle,Kwun Tong District / Kwun Tong,Posting Date: 2020-09-08,--,5
"['', 'Five-Day Work']",NewTrek Systems Limited,Associate Degree / Higher Diploma,All IT,Information Technology,"['IT (Application - Software)', 'IT (Software / Web Developer)', 'IT (Network & System)', 'IT (Others)']",Analyst Programmer (Java),Senior,Kwun Tong District / Kwun Tong,Posting Date: 2020-09-08,--,2
"['', 'Dental Insurance', '', 'Five-Day Work', '', 'Medical Insurance', '', 'Performance Bonus']",China Comservice (Hong Kong) Limited,Diploma,All IT,Tele-communications,"['IT (Network & System)', 'IT (Systems / Technical Support)', 'IT (Application - Network)', 'IT (Others)', 'Engineering (Electrical / Electronic)']",IT Support Engineer,General,,Posting Date: 2020-09-08,--,--
"['', 'Dental Insurance', '', 'Flexible Working Hours', '', 'Medical Insurance', '', 'Performance Bonus']",China Comservice (Hong Kong) Limited,Associate Degree / Higher Diploma,All IT,Tele-communications,"['Engineering (Telecommunication / Wireless / Radio)', 'IT (Systems / Technical Support)', 'IT (Network & System)', 'IT (Others)']",NOC Engineer,General,,Posting Date: 2020-09-08,--,1
"['', 'Birthday Leave', '', 'Medical Insurance']",SEITO SYSTEMS LTD.,DSE ,All IT,Information Technology,"['IT (Systems / Technical Support)', 'IT (Application - Software)', 'IT (Hardware)', 'IT (Others)']",Project Assistant,General,,Posting Date: 2020-09-08,--,1
,BroadLearning Education (Asia) Limited,Bachelor,All IT,Information Technology,['IT (Software / Web Developer)'],Senior Programmer (Web),Middle,Kwun Tong District / Kwun Tong,Posting Date: 2020-09-08,--,2
,BroadLearning Education (Asia) Limited,Bachelor,All IT,Information Technology,"['IT (Software / Web Developer)', 'IT (Mobile / Wireless Communications)', 'IT (Others)', 'Fresh Graduate (Fresh Graduate)']",Mobile App Developer,Middle,Kwun Tong District / Kwun Tong,Posting Date: 2020-09-08,--,--
,BroadLearning Education (Asia) Limited,Bachelor,All IT,Information Technology,"['Education (Others)', 'IT (Others)']",Education Development Executive / Training Executive,Middle,Kwun Tong District / Kwun Tong,Posting Date: 2020-09-08,--,1
,BroadLearning Education (Asia) Limited,Bachelor,All IT,Information Technology,"['IT (Software / Web Developer)', 'IT (Application - Software)', 'IT (Others)']",Analyst Programmer (Web),Middle,Kwun Tong District / Kwun Tong,Posting Date: 2020-09-08,--,4
"['', 'Education Allowance', '', 'Five-Day Work', '', 'Medical Insurance', '', 'Performance Bonus']",iASPEC Services Limited,--,All IT,Information Technology,"['IT (Software / Web Developer)', 'IT (Others)']",Software Engineer,Middle,Shatin District,Posting Date: 2020-09-08,--,--
"['', 'Double Pay', '', 'Five-Day Work', '', 'Medical Insurance']",Sonnet Business Systems Ltd,Associate Degree / Higher Diploma,All IT,Information Technology,"['IT (Network & System)', 'IT (Application - Software)', 'IT (Application - Network)', 'IT (Software / Web Developer)', 'Fresh Graduate (Fresh Graduate)']",Programmer / Analyst Programmer,General,,Posting Date: 2020-09-08,--,0 - 2
"['', 'Five-Day Work', '', 'Flexible Working Hours', '', 'Medical Insurance', '', 'Performance Bonus']",Four Directions Limited,Associate Degree / Higher Diploma,All IT,Information Technology,"['IT (Application - Software)', 'IT (Network & System)', 'IT (Software / Web Developer)', 'IT (Others)', 'Fresh Graduate (Fresh Graduate)']",Web Developer / Senior Web Developer / Web Developer,Middle,,Posting Date: 2020-09-08,--,1
"['', 'Five-Day Work', '', 'Flexible Working Hours', '', 'Medical Insurance', '', 'Performance Bonus']",Four Directions Limited,Associate Degree / Higher Diploma,All IT,Information Technology,"['IT (Application - Software)', 'IT (Network & System)', 'IT (Software / Web Developer)', 'IT (Others)', 'Fresh Graduate (Fresh Graduate)']",Web Developer / Senior Web Developer / Web Developer (Magento),Middle,,Posting Date: 2020-09-08,--,1
"['', 'Five-Day Work']",PCCW Solutions,DSE ,All IT,Information Technology,"['IT (Systems / Technical Support)', 'IT (Network & System)', 'IT (Application - Network)', 'Customer Service (Customer Service)']",IT技術支援 / 熱線中心服務員,General,,Posting Date: 2020-09-08,--,--
,PCCW Solutions,Bachelor,All IT,Information Technology,"['Engineering (Electrical / Electronic)', 'Engineering (Chemical / Environmental Protection / Laboratory)', 'IT (Network & System)', 'IT (Others)']",Senior Engineer/ Engineer – Electric Low Voltage Systems,Middle,,Posting Date: 2020-09-08,--,6
,PCCW Solutions,Associate Degree / Higher Diploma,All IT,Information Technology,"['Engineering (Electrical / Electronic)', 'Engineering (Engineering Project Management)', 'IT (Technical / Functional Consulting)']",Senior Technical Officer / Technical Officer-Extra Low Voltage Systems,General,,Posting Date: 2020-09-08,--,4
,PCCW Solutions,Bachelor,All IT,Information Technology,"['IT (Application - Network)', 'IT (Network & System)', 'IT (IT Project Management / Team Lead)', 'IT (Others)']",Service Delivery Manager,Senior,,Posting Date: 2020-09-08,--,11
,PCCW Solutions,Associate Degree / Higher Diploma,All IT,Information Technology,"['Engineering (Electrical / Electronic)', 'Engineering (Others)', 'IT (Network & System)', 'IT (Others)']",Technician / Technical Associate – Electric Low Voltage Systems ,General,,Posting Date: 2020-09-08,--,3
"['', 'Medical Insurance', '', 'Performance Bonus']",Systems Scanning Ltd,Certificate,All IT,Information Technology,"['IT (Hardware)', 'IT (Systems / Technical Support)', 'IT (Others)', 'Fresh Graduate (Fresh Graduate)']",Technician,General,Sham Shui Po District / Lai Chi Kok,Posting Date: 2020-09-08,--,--
"['', 'Medical Insurance', '', 'Performance Bonus']",Systems Scanning Ltd,Certificate,All IT,Information Technology,"['IT (Hardware)', 'IT (Systems / Technical Support)', 'IT (Others)', 'Fresh Graduate (Fresh Graduate)']",Technician / Technical Support Engineer,General,,Posting Date: 2020-09-08,--,--
"['', 'Bank Holiday', '', 'On-the-job training', '', 'Year end bonus']",金臻(香港)有限公司,F.5 / HKCEE,All IT,Trading,"['Engineering (Electrical / Electronic)', 'Engineering (Telecommunication / Wireless / Radio)', 'Engineering (Others)', 'IT (Others)']",打印機維修,General,Kwai Tsing District / Kwai Chung,Posting Date: 2020-09-08,"$13,000 - $14,000",2
"['', 'Double Pay', '', 'Free Shuttle Bus', '', 'On-the-job training', '', 'Promotion']",啟恒科技有限公司,Diploma,All IT,Information Technology,"['IT (Application - Software)', 'IT (Software / Web Developer)', 'IT (Others)']",Android開發人員 ,General,Tsuen Wan District,Posting Date: 2020-09-08,"$18,000 - $35,000",1
"['', 'Double Pay']",啟恒科技有限公司,Associate Degree / Higher Diploma,All IT,Information Technology,"['IT (Application - Software)', 'IT (Software / Web Developer)', 'IT (Others)']",Java開發工程師,General,Tsuen Wan District,Posting Date: 2020-09-08,"$18,000 - $35,000",1
"['', 'Education Allowance', '', 'Five-Day Work', '', 'Medical Insurance']",ClearGO e-Business Consultancy Limited,Bachelor,All IT,Information Technology,"['IT (IT Management)', 'IT (Product Management / Business Analyst)', 'IT (Others)']",Business Analyst / Project Officer,Middle,Kwun Tong District / Kwun Tong,Posting Date: 2020-09-08,--,2
"['', 'Education Allowance', '', 'Five-Day Work', '', 'Medical Insurance']",ClearGO e-Business Consultancy Limited,Certificate,All IT,Information Technology,"['IT (Software / Web Developer)', 'Design (Web Designer)', 'Design (Multi-Media)']",Web /Front-end Developer,Middle,Kwun Tong District / Kwun Tong,Posting Date: 2020-09-08,--,--
"['', 'Education Allowance', '', 'Five-Day Work', '', 'Medical Insurance']",ClearGO e-Business Consultancy Limited,Associate Degree / Higher Diploma,All IT,Information Technology,"['IT (Software / Web Developer)', 'IT (Application - Software)', 'IT (Technical / Functional Consulting)', 'IT (Others)']",Developer / Senior Programmer,Middle,Kwun Tong District / Kwun Tong,Posting Date: 2020-09-08,--,2
"['', 'Bank Holiday', '', 'Five-Day Work', '', 'Year end bonus']",eeio Limited,F.5 / HKCEE,All IT,Information Technology,"['Sales (Telesales / Telemarketing / Call Centre)', 'Sales (General Sales)', 'IT (Others)']",Telesales - I.T. product 電話銷售營業員,General,,Posting Date: 2020-09-08,--,--
"['', 'Medical Insurance', '', 'Overtime Pay', '', 'Performance Bonus']",Bespark Technologies Engineering Ltd,Diploma,All IT,Engineering / Electrical / Electronics,"['IT (IT Management)', 'IT (Mobile / Wireless Communications)', 'IT (Others)']",Project Engineer / Assistant Project Engineer (Telecommunications / IT),Middle,Kwun Tong District / Kowloon Bay,Posting Date: 2020-09-08,--,1-2
,,,All IT,,,,,,,,
"['', 'Dental Insurance', '', 'Education Allowance', '', 'Five-Day Work', '', 'Flexible Working Hours', '', 'Medical Insurance', '', 'Performance Bonus']",Hong Thai Travel Services Ltd,Associate Degree / Higher Diploma,All IT,Travel & Tourism,"['IT (Application - Software)', 'IT (Webmaster / SEO)', 'IT (Software / Web Developer)']",Junior Programmer / Senior Web Developer,General,Tsuen Wan District,Posting Date: 2020-09-08,--,1 or above
"['', 'Birthday Leave', '', 'Dental Insurance', '', 'Double Pay', '', 'Five-Day Work', '', 'Marriage Leave', '', 'Medical Insurance', '', 'Travel Allowance']",ISSI Outlet Limited,Bachelor,All IT,Wholesale & Retail,"['IT (Systems / Technical Support)', 'IT (IT Management)', 'IT (Others)']",IT Officer(eCommerce),General,Sham Shui Po District / Lai Chi Kok,Posting Date: 2020-09-08,--,2
"['', 'Birthday Leave', '', 'Five-Day Work', '', 'Marriage Leave', '', 'Paternity Leave']",Cityray Technology (China) Ltd ,Diploma,All IT,Information Technology,"['IT (System Engineer / Network Engineer)', 'IT (Network & System)', 'IT (Application - Software)', 'IT (Others)']",System Engineer (MSSQL),General,,Posting Date: 2020-09-08,--,3 or above
,"3Tech E&M Engineering Co., Ltd.",Associate Degree / Higher Diploma,All IT,Trading,"['IT (System Engineer / Network Engineer)', 'IT (Network & System)', 'IT (Systems / Technical Support)', 'IT (Others)']",System Engineer,Middle,,Posting Date: 2020-09-08,--,4
,"3Tech E&M Engineering Co., Ltd.",Associate Degree / Higher Diploma,All IT,Trading,"['IT (System Analyst)', 'IT (Systems / Technical Support)', 'IT (Others)']",Analyst Programmer,General,,Posting Date: 2020-09-08,--,2
"['', 'Dental Insurance', '', 'Five-Day Work', '', 'Medical Insurance', '', 'Performance Bonus']",Hornington Computers Company,F.7 / HKAL,All IT,Trading,"['Sales (Sales Administration)', 'Sales (General Sales)', 'Sales (Wholesale)', 'Sales (Direct Sales)', 'IT (Hardware)']",Sales Executive,General,Kwun Tong District / Kwun Tong,Posting Date: 2020-09-08,--,--
"['', 'Bank Holiday', '', 'Dental Insurance', '', 'Five-Day Work', '', 'Medical Insurance']",Hornington System Limited,F.5 / HKCEE,All IT,Trading,"['IT (Hardware)', 'Retail (Retail Operations Management)', 'Sales (Channel / Distribution)', 'Sales (Direct Sales)', 'Sales (Sales Management)']",Sales Executive (Computer Components),Middle,Kwun Tong District / Kwun Tong,Posting Date: 2020-09-08,--,3-10
"['', 'Dental Insurance', '', 'Five-Day Work', '', 'Medical Insurance', '', 'Performance Bonus']",Hornington Computers Company,F.5 / HKCEE,All IT,Trading,"['Sales (Sales Administration)', 'Sales (General Sales)', 'Sales (Wholesale)', 'Sales (Direct Sales)', 'IT (Hardware)']",Sales Executive (IT and Computer products),General,Kwun Tong District / Kwun Tong,Posting Date: 2020-09-08,--,3-10
,Masterlink Computer Co Ltd,--,All IT,Information Technology,"['IT (Systems / Technical Support)', 'IT (System Engineer / Network Engineer)', 'IT (Network & System)', 'IT (Others)']",IT Technician/Technical Support/Engineer,General,,Posting Date: 2020-09-08,--,2-3
"['', 'Five-Day Work']",Asia Port Services Limited,Associate Degree / Higher Diploma,All IT,Logistics,"['IT (Network & System)', 'IT (Software / Web Developer)', 'IT (Others)', 'Fresh Graduate (Fresh Graduate)']",Programmer (Temporary) (Contract ended at 31 Dec 2020),General,,Posting Date: 2020-09-08,--,--
"['', 'Five-Day Work']",NEARKO LIMITED,--,All IT,Information Technology,"['IT (Mobile Applications Developer)', 'IT (Software / Web Developer)', 'Design (Others)']",Game Developer (Unity),General,Tsuen Wan District,Posting Date: 2020-09-08,--,--
"['', 'Education Allowance', '', 'Five-Day Work', '', 'Medical Insurance', '', 'Performance Bonus', '', 'Transportation Allowance']",Integrated Enterprise Solutions Ltd,Bachelor,All IT,Information Technology,"['IT (IT Project Management / Team Lead)', 'IT (Software / Web Developer)', 'IT (Technical / Functional Consulting)']",Analyst Programmer (5-day work),Middle,Kwun Tong District / Kwun Tong,Posting Date: 2020-09-08,--,2-4
"['', 'Education Allowance', '', 'Five-Day Work', '', 'Medical Insurance', '', 'Performance Bonus', '', 'Transportation Allowance']",Integrated Enterprise Solutions Ltd,Diploma,All IT,Information Technology,"['IT (System Engineer / Network Engineer)', 'IT (Systems / Technical Support)', 'IT (Others)']",System Engineer (5-day work),General,Kwun Tong District / Kwun Tong,Posting Date: 2020-09-08,--,2
"['', 'Five-Day Work', '', 'Medical Insurance']",Integrated Enterprise Solutions Ltd,Bachelor,All IT,Information Technology,"['IT (Mobile Applications Developer)', 'IT (Software / Web Developer)', 'IT (Technical / Functional Consulting)', 'IT (IT Project Management / Team Lead)', 'Fresh Graduate (Fresh Graduate)']",Mobile App Developer,Middle,Kwun Tong District / Kwun Tong,Posting Date: 2020-09-08,--,2
"['', 'Education Allowance', '', 'Five-Day Work', '', 'Medical Insurance', '', 'Performance Bonus']",Integrated Enterprise Solutions Ltd,Associate Degree / Higher Diploma,All IT,Information Technology,"['IT (System Analyst)', 'IT (Software / Web Developer)', 'IT (Technical / Functional Consulting)', 'IT (IT Project Management / Team Lead)']",Systems Analyst (5-day work),Middle,Kwun Tong District / Kwun Tong,Posting Date: 2020-09-08,--,6-8
"['', 'Five-Day Work', '', 'Medical Insurance']",Integrated Enterprise Solutions Ltd,Bachelor,All IT,Information Technology,"['IT (IT Project Management / Team Lead)', 'IT (Software / Web Developer)', 'IT (Technical / Functional Consulting)', 'IT (Others)']",Project Manager,Senior,Kwun Tong District / Kwun Tong,Posting Date: 2020-09-08,--,10
"['', 'Bank Holiday', '', 'Marriage Leave', '', 'Medical Insurance', '', 'Performance Bonus', '', 'Promotion', '', 'Transportation Allowance']",Superhub Limited,F.5 / HKCEE,All IT,Information Technology,"['IT (IT Management)', 'IT (Network & System)', 'IT (Systems / Technical Support)']",Cloud Support Officer,General,Kwun Tong District / Kwun Tong,Posting Date: 2020-09-07,--,--
"['', 'Five-Day Work', '', 'Medical Insurance']",Swing Consulting Limited,Diploma,All IT,Employment Agency,"['IT (Hardware)', 'IT (Systems / Technical Support)', 'IT (Network & System)']",Helpdesk Support / IT Support,Middle,,Posting Date: 2020-09-07,--,3
"['', 'Medical Insurance', '', 'Performance Bonus']",Landray Growth Software (HK) Limited,Associate Degree / Higher Diploma,All IT,Information Technology,"['IT (IT Project Management / Team Lead)', 'IT (Application - Software)']",Senior Project Manager / Project Manager,Middle,Sham Shui Po District / Lai Chi Kok,Posting Date: 2020-09-07,--,5-10
"['', 'Medical Insurance']",CL Technical Services Limited,--,All IT,Information Technology,"['IT (Hardware)', 'IT (Systems / Technical Support)', 'IT (Network & System)']","Field Engineer / IT Engineer (PC / Windows, Fresh graduate)",General,Shatin District / Shatin,Posting Date: 2020-09-07,--,--
"['', 'Five-Day Work', '', 'Medical Insurance', '', 'Overtime Pay']",CL Technical Services Ltd,--,All IT,Information Technology,"['IT (Hardware)', 'IT (Systems / Technical Support)', 'IT (Network & System)']",Deskside Support Engineer / IT Support Engineer (Fresh grad),General,Central & Western District,Posting Date: 2020-09-07,--,--
"['', 'Flexible Working Hours']",CL Technical Services Ltd,--,All IT,Information Technology,"['IT (Hardware)', 'IT (Systems / Technical Support)', 'IT (Network & System)']",數據中心操作員 (Data Center Operator),,Central & Western District,Posting Date: 2020-09-07,--,--
"['', 'Bonus for a recruit / new joiner', '', 'Flexible Working Hours', '', 'Gratuity']",CL Technical Services Ltd,--,All IT,Information Technology,"['IT (DBA)', 'IT (Network & System)', 'IT (Hardware)']",Database Administrator (Oracle / MSSQL / DB2 / MySQL),,Central & Western District,Posting Date: 2020-09-07,--,--
"['', 'Five-Day Work', '', 'Medical Insurance', '', 'Overtime Pay']",CL Technical Services Ltd,Bachelor,All IT,Information Technology,"['IT (Mobile Applications Developer)', 'IT (Application - Software)', 'IT (Software / Web Developer)']",Mobile Applications Developer,Middle,Sai Kung District / Sai Kung,Posting Date: 2020-09-07,--,3-5
"['', 'Gratuity', '', 'Medical Insurance', '', 'Overtime Pay']",CL Technical Services Limited,--,All IT,Information Technology,"['IT (Application - Software)', 'IT (Software / Web Developer)', 'IT (Technical / Functional Consulting)']",Programmer / Developer / Analyst (Java),General,Central & Western District,Posting Date: 2020-09-07,--,--
"['', 'Medical Insurance']",CL Technical Services Ltd,Diploma,All IT,Information Technology,"['IT (Application - Network)', 'IT (Hardware)', 'IT (Network & System)', 'IT (System Engineer / Network Engineer)', 'IT (Systems / Technical Support)']",IT Support Officer (1-2 Exp / Up to 18K),General,Central & Western District / Central,Posting Date: 2020-09-07,--,2
"['', 'Five-Day Work']",CL Technical Services Ltd,Associate Degree / Higher Diploma,All IT,Information Technology,"['IT (Systems / Technical Support)', 'IT (Hardware)', 'IT (Network & System)']",PC Support Engineer,General,Central & Western District / Central,Posting Date: 2020-09-07,"$14,000 - $16,000",1-3
,Vocational Training Council,Diploma,All IT,Education / Training,"['IT (DBA)', 'Marketing / Public Relations (Marketing - Market Research)']",Statistical Officer II,General,,Posting Date: 2020-09-07,--,2 or above
"['', 'Birthday Leave', '', 'Dental Insurance', '', 'Education Allowance', '', 'Free Shuttle Bus', '', 'Life Insurance', '', 'Marriage Leave', '', 'Medical Insurance', '', 'Overtime Pay', '', 'Performance Bonus']",Quantium Solutions (Hong Kong) Limited,Diploma,All IT,Logistics,"['IT (Application - Software)', 'IT (Systems / Technical Support)', 'IT (Software / Web Developer)', 'IT (Others)', 'Fresh Graduate (Fresh Graduate)']",I.T. Support Assistant,General,Kwun Tong District,Posting Date: 2020-09-07,--,--
"['', 'Five-Day Work', '', 'Free Shuttle Bus', '', 'Medical Insurance', '', 'Overtime Pay']",Swing Consulting Limited,Associate Degree / Higher Diploma,All IT,Employment Agency,"['IT (Hardware)', 'IT (Systems / Technical Support)', 'IT (Network & System)']",Senior Deskside Engineer(ibank),General,,Posting Date: 2020-09-07,--,4
"['', 'Medical Insurance', '', 'Performance Bonus']",Astrid Electronics HK Limited,Diploma,All IT,Engineering / Electrical / Electronics,"['Design (Industrial / Product)', 'Design (Web Designer)', 'IT (Others)', 'Fresh Graduate (Fresh Graduate)']",Product Designer,General,Kwun Tong District / Kwun Tong,Posting Date: 2020-09-07,--,1
"['', 'Medical Insurance', '', 'Performance Bonus']",Astrid Electronics HK Limited,Diploma,All IT,Engineering / Electrical / Electronics,"['IT (Systems / Technical Support)', 'IT (Network & System)', 'IT (Others)', 'Engineering (Electrical / Electronic)']",IT Support,Middle,Kwun Tong District / Kowloon Bay,Posting Date: 2020-09-07,--,3-5
"['', 'Five-Day Work', '', 'Free Shuttle Bus', '', 'Marriage Leave', '', 'Paternity Leave', '', 'Promotion']",O P G HUMAN RESOURCES LIMITED,Diploma,All IT,Printing & Publishing,"['IT (Software / Web Developer)', 'IT (Application - Software)', 'IT (Mobile Applications Developer)', 'IT (Mobile / Wireless Communications)', 'IT (System Analyst)']",Mobile App Developer (Android / iOS),Middle,Tai Po District / Tai Po,Posting Date: 2020-09-07,--,1-8
"['', 'Overtime Pay', '', 'Performance Bonus']",Gateway Technology Development Co Ltd,Bachelor,All IT,Information Technology,"['IT (Systems / Technical Support)', 'IT (Product Management / Business Analyst)', 'IT (Network & System)', 'IT (Others)']",Network Engineer,General,Central & Western District / Sheung Wan,Posting Date: 2020-09-07,--,1 or above
"['', 'Overtime Pay', '', 'Performance Bonus']",Gateway Technology Development Co Ltd,F.7 / HKAL,All IT,Information Technology,"['IT (Systems / Technical Support)', 'IT (Network & System)', 'IT (System Administrator)', 'IT (Others)']",Network Technical Trainee / System Administration,General,Central & Western District / Sheung Wan,Posting Date: 2020-09-07,--,--
,祥興電子電器工程有限公司,Diploma,All IT,Building / Construction,"['IT (Program Specialist)', 'IT (Others)']",程式編寫工程師,General,Kwun Tong District / Kwun Tong,Posting Date: 2020-09-07,"$9,000 - $15,000",3-5
"['', 'Bank Holiday', '', 'Medical Insurance']",祥興電子電器工程有限公司 ,Certificate,All IT,Building / Construction,"['IT (Software / Web Developer)', 'IT (Application - Software)', 'IT (Technical / Functional Consulting)']",程式/系統編寫工程師,General,Kwun Tong District / Kwun Tong,Posting Date: 2020-09-07,"$12,000 - $18,000",2
,Towngas Telecommunications Company Limited,Associate Degree / Higher Diploma,All IT,Tele-communications,"['Engineering (Telecommunication / Wireless / Radio)', 'IT (Others)']",Facilities Engineer,General,,Posting Date: 2020-09-07,--,3 or above
,Create Tech Software Systems Limited,Diploma,All IT,Information Technology,"['IT (Software / Web Developer)', 'IT (Application - Software)', 'IT (Application - Network)', 'IT (Others)']",Web Developer,General,,Posting Date: 2020-09-07,--,1
"['', 'Education Allowance', '', 'Performance Bonus']",Create Tech Software Systems Limited,F.5 / HKCEE,All IT,Information Technology,"['Customer Service (Customer Service)', 'IT (Systems / Technical Support)', 'IT (Technical / Functional Consulting)', 'IT (Others)']",Customer Service and Support (長短週),General,Wong Tai Sin District,Posting Date: 2020-09-07,--,2
"['', 'Bank Holiday', '', 'Five-Day Work']",Techland Computer Systems Ltd,Diploma,All IT,Information Technology,"['IT (Systems / Technical Support)', 'IT (System Engineer / Network Engineer)', 'IT (System Administrator)', 'IT (Network & System)']",IT Support Officer / Technician,General,Kwai Tsing District / Kwai Hing,Posting Date: 2020-09-07,--,--
