Benefits,Company,Education,Industry,Industry_label,Job_function,Job_title,Level,Location,Posting_date,Salary,Work_exp
"['', 'Bank Holiday', '', 'Gratuity', '', 'Medical Insurance', '', 'On-the-job training', '', 'Promotion']",匯駿財務有限公司Union Finance (HK) Company Limited,Below F.5,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Banking / Finance / Securities (Loan)', 'Banking / Finance / Securities (Financial Services)', 'Banking / Finance / Securities (Mortgage)', 'Banking / Finance / Securities (Others)', 'Banking / Finance / Securities (Order Processing & Operation / Settlement)']",分行文員 Loan Clerk (元朗分行),General,Yuen Long District / Yuen Long,Posting Date: 2020-09-08,"$11,000 - $13,000",1-3
"['', 'Bank Holiday', '', 'Dental Insurance', '', 'Five-Day Work', '', 'Labour / Statutory Holiday', '', 'Life Insurance', '', 'Marriage Leave', '', 'Medical Insurance', '', 'On-the-job training', '', 'Overtime Pay', '', 'Performance Bonus', '', 'Promotion']",Williams Lea (Hong Kong) Ltd,DSE ,All Banking / Finance / Securities,Consultancy / Professional Service,"['Administration / Secretary (Clerical / Admin Staff)', 'Administration / Secretary (Secretary)', 'Banking / Finance / Securities (Private Banking)', 'Marketing / Public Relations (Marketing - General / Support)']",Senior Administration Associate,General,Central & Western District / CentralEastern District / Tai Koo,Posting Date: 2020-09-08,--,2-3
"['', 'Bank Holiday', '', 'Dental Insurance', '', 'Five-Day Work', '', 'Labour / Statutory Holiday', '', 'Life Insurance', '', 'Marriage Leave', '', 'Medical Insurance', '', 'On-the-job training', '', 'Overtime Pay', '', 'Paternity Leave', '', 'Transportation Allowance']",Williams Lea (Hong Kong) Ltd,Associate Degree / Higher Diploma,All Banking / Finance / Securities,Consultancy / Professional Service,"['Banking / Finance / Securities (Private Banking)', 'Banking / Finance / Securities (Corporate Banking)', 'Professional Services (Translation)']",Translator (Shift Duty is Required),Middle,Central & Western District / Central,Posting Date: 2020-09-08,--,--
"['', 'Alternate Saturday', '', 'Bank Holiday', '', 'Dental Insurance', '', 'Five-Day Work', '', 'Labour / Statutory Holiday', '', 'Life Insurance', '', 'Marriage Leave', '', 'Meal Allowance', '', 'Medical Insurance', '', 'On-the-job training', '', 'Overtime Pay', '', 'Paternity Leave', '', 'Promotion', '', 'Transportation Allowance', '', 'Travel Allowance']",Williams Lea (Hong Kong) Ltd,Bachelor,All Banking / Finance / Securities,Consultancy / Professional Service,"['Professional Services (Business Consultancy)', 'Banking / Finance / Securities (Investment)', 'Banking / Finance / Securities (Corporate Banking)', 'Banking / Finance / Securities (Financial Services)', 'Design (Graphic)']",Presentations Associate (Shift Duty is REQUIRED),Middle,Wanchai District / Causeway Bay,Posting Date: 2020-09-08,--,--
"['', 'Commission', '', 'Flexible Working Hours', '', 'Gratuity', '', 'On-the-job training', '', 'Overtime Pay', '', 'Performance Bonus', '', 'Promotion']",Univest company limited ,Associate Degree / Higher Diploma,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Marketing / Public Relations (Brand / Product Management)', 'Banking / Finance / Securities (Others)', 'Sales (General Sales)', 'Sales (Business Development)', 'Marketing / Public Relations (Others)']",Sales and Marketing Executive (Financial technology) ,General,Yau Tsim Mong District,Posting Date: 2020-09-07,--,--
"['', 'Bank Holiday', '', 'Commission', '', 'Five-Day Work', '', 'Flexible Working Hours', '', 'Medical Insurance', '', 'On-the-job training', '', 'Promotion']",AIA International Limited,Bachelor,All Banking / Finance / Securities,Insurance,"['Banking / Finance / Securities (Financial Services)', 'Insurance (Insurance / Broker)', 'Banking / Finance / Securities (Investment)', 'Others (Others)']",Wealth Management Manager財富管理經理精英招募（年薪可達80萬或以上，歡迎轉行業人士及優秀畢業生）,General,Eastern District / North Point,Posting Date: 2020-09-07,--,--
"['', 'Bank Holiday', '', 'Bonus for a recruit / new joiner', '', 'Commission', '', 'Flexible Working Hours', '', 'Medical Insurance', '', 'On-the-job training', '', 'Promotion', '', 'Travel Allowance', '', 'Year end bonus']",GD - MPF Financial Company,Associate Degree / Higher Diploma,All Banking / Finance / Securities,Insurance,"['Banking / Finance / Securities (Financial Services)', 'Airline / Travel / Tourism (Travel Agency / Consultant)', 'Retail (Retail Operations Management)', 'Insurance (Insurance / Broker)', 'Hospitality / Hotel (Customer Service)']",強積金業務推廣主任 MPF Business Officer,Middle,Kowloon City District / Hung Hom,Posting Date: 2020-09-07,"$18,000 or above",--
"['', 'Bank Holiday', '', 'Birthday Leave', '', 'Gratuity', '', 'Medical Insurance', '', 'On-the-job training', '', 'Promotion']",匯駿財務有限公司Union Finance (HK) Company Limited,Below F.5,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Banking / Finance / Securities (Loan)', 'Banking / Finance / Securities (Order Processing & Operation / Settlement)', 'Banking / Finance / Securities (Mortgage)', 'Banking / Finance / Securities (Others)', 'Banking / Finance / Securities (Financial Services)']",分行文員 Loan Clerk,General,Kwun Tong District / Kwun TongTai Po DistrictWanchai District / Wan ChaiYau Tsim Mong District / Mong KokYuen Long District / Yuen Long,Posting Date: 2020-09-07,"$11,000 - $13,000",--
"['', 'Labour / Statutory Holiday']",T-Moon Medical Beauty ,--,All Banking / Finance / Securities,Beauty Care,"['Accounting / Auditing (Others)', 'Accounting / Auditing (Accounting Clerk / Officer / Supervisor)', 'Accounting / Auditing (General Accounting)', 'Banking / Finance / Securities (Others)', 'Accounting / Auditing (Accounting / Financial Management)']",資深會計文員,General,Northern District / Fanling,Posting Date: 2020-09-06,"$15,000 - $18,000",2
"['', 'Bank Holiday', '', 'Double Pay', '', 'Five-Day Work', '', 'Medical Insurance']",Public Bank (Hong Kong) Limited,Bachelor,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Banking / Finance / Securities (Corporate Banking)', 'Sales (Business Development)', 'Sales (Others)']",Relationship Manager – China Business (Ref: RO-RMCB),Middle,Hong Kong,Posting Date: 2020-09-05,--,5
